dgp,K_true,model,seed,T,T_train,max_rhat,min_ess_bulk,converged,elpd_loo,loo_se,p_loo,elpd_waic,waic_se,train_rmse,test_rmse,train_coverage_90,test_coverage_90,effective_k_mean,effective_k_std,alpha_in_ci,sigma_in_ci,alpha_true,alpha_est,delta_loo,delta_loo_significant
single,1,single_hill,0,200,150,1.0,2399.0,True,-391.9367904663086,11.420223512037532,6.219297885894775,-391.9055931016337,11.411768155374398,3.1700778007507324,5.335056781768799,0.94,0.66,1.0,0.0,True,True,0.5,0.5406778454780579,0.0,False
single,1,mixture_k3,0,200,150,1.01,595.0,True,-392.96671295166016,11.640447509101538,10.027113914489746,-392.81880660448223,11.592815032352288,3.1770472526550293,5.34530782699585,0.9333333333333333,0.66,1.85475,0.5864319547057443,True,True,0.5,0.5482878684997559,-1.0299224853515625,False
single,1,sparse_k5,0,200,150,1.01,775.0,True,-392.7110404968262,11.559903854426015,10.025545120239258,-392.55388625431806,11.514302779348492,3.1839101314544678,5.356613636016846,0.9333333333333333,0.66,1.877375,0.7418477669812048,True,True,0.5,0.5500223636627197,-0.7742500305175781,False
single,1,single_hill,1,200,150,1.0,2289.0,True,-365.0364828109741,10.242367280842398,6.099081516265869,-364.98436359129846,10.234638710242521,2.64593505859375,5.36484432220459,0.9,0.5,1.0,0.0,True,True,0.5,0.4255254566669464,0.0,False
single,1,mixture_k3,1,200,150,1.0,815.0,True,-366.8586368560791,10.52101808749171,8.237862586975098,-366.7733315876685,10.507555334916283,2.6594502925872803,5.358582973480225,0.9133333333333333,0.54,2.002125,0.6783218147568306,True,False,0.5,0.4335525929927826,-1.8221540451049805,False
single,1,sparse_k5,1,200,150,1.01,522.0,True,-367.1921091079712,10.479659804911243,8.207042217254639,-367.1599710639566,10.495037162812281,2.6550354957580566,5.381990432739258,0.9133333333333333,0.54,1.831875,0.7725664918795017,True,False,0.5,0.43364742398262024,-2.1556262969970703,False
single,1,single_hill,2,200,150,1.0,2017.0,True,-394.721715927124,7.9203554535557705,5.414844512939453,-394.6949854732957,7.91823606344175,3.233062744140625,5.565924644470215,0.9266666666666666,0.72,1.0,0.0,True,True,0.5,0.5212963223457336,0.0,False
single,1,mixture_k3,2,200,150,1.0,1256.0,True,-396.3414125442505,7.837375621578999,5.910245418548584,-396.30595315014943,7.83324081762536,3.248710870742798,5.4793314933776855,0.9333333333333333,0.7,2.124375,0.6731685222698697,True,True,0.5,0.5192294716835022,-1.6196966171264648,False
single,1,sparse_k5,2,200,150,1.0,1182.0,True,-396.9515104293823,7.873486579702786,5.88073205947876,-396.91557585448027,7.870501704312456,3.249021291732788,5.483778953552246,0.9333333333333333,0.7,1.903,0.808604353191349,True,True,0.5,0.5225423574447632,-2.229794502258301,False
single,1,single_hill,3,200,150,1.0,2300.0,True,-382.2655725479126,8.98379799084535,5.534507751464844,-382.2370424857363,8.980906919345761,2.974900484085083,5.171130657196045,0.9066666666666666,0.66,1.0,0.0,True,True,0.5,0.4398898482322693,0.0,False
single,1,mixture_k3,3,200,150,1.0,888.0,True,-383.9797534942627,8.974349517461894,6.133181571960449,-383.92722148355097,8.963718277022673,2.98244309425354,5.221471786499023,0.9133333333333333,0.66,1.970125,0.6778513733666105,True,True,0.5,0.4346327781677246,-1.7141809463500977,False
single,1,sparse_k5,3,200,150,1.01,729.0,True,-384.43951320648193,8.993068422959233,6.262251853942871,-384.39079849328846,8.984596423857852,2.9923036098480225,5.2332539558410645,0.9133333333333333,0.64,1.78125,0.7652767064924948,True,True,0.5,0.43515023589134216,-2.173940658569336,False
single,1,single_hill,4,200,150,1.0,2818.0,True,-377.80532360076904,8.282533501424789,5.701645851135254,-377.774784949841,8.27906661841505,2.885388135910034,4.257818698883057,0.9,0.76,1.0,0.0,True,True,0.5,0.41532427072525024,0.0,False
single,1,mixture_k3,4,200,150,1.0,1079.0,True,-379.7226104736328,8.018535071779311,7.213099956512451,-379.669136131648,8.011166693877863,2.9030251502990723,4.256186008453369,0.9066666666666666,0.76,2.26875,0.6525131703651659,True,True,0.5,0.4181331992149353,-1.9172868728637695,False
single,1,sparse_k5,4,200,150,1.0,1125.0,True,-380.52081871032715,8.063498711838067,7.222142696380615,-380.47157415701076,8.057489830229082,2.9091415405273438,4.270547866821289,0.9266666666666666,0.76,2.07325,0.84462088388815,True,True,0.5,0.41712120175361633,-2.7154951095581055,False
mixture_k2,2,single_hill,0,200,150,1.0,2258.0,True,-420.3409547805786,8.892795392223098,5.589904308319092,-420.32099491357803,8.888567299582794,3.8399529457092285,4.810943126678467,0.9333333333333333,0.82,1.0,0.0,True,False,0.5,0.5108609199523926,0.0,False
mixture_k2,2,mixture_k3,0,200,150,1.01,869.0,True,-420.82347297668457,9.568710385713205,8.993287086486816,-420.731641553808,9.537011179729525,3.8513073921203613,4.809875965118408,0.9466666666666667,0.82,2.38475,0.5667604763037027,True,True,0.5,0.5079609751701355,-0.48251819610595703,False
mixture_k2,2,sparse_k5,0,200,150,1.0,1033.0,True,-420.98584747314453,9.401626267300122,9.056247234344482,-420.8906767042354,9.367727442254381,3.8481247425079346,4.805087089538574,0.9533333333333334,0.8,2.603125,0.7967843085647458,True,True,0.5,0.5113224983215332,-0.644892692565918,False
mixture_k2,2,single_hill,1,200,150,1.0,2717.0,True,-401.27567291259766,8.300877668048736,6.376514911651611,-401.13537468761206,8.250810219611697,3.3669779300689697,5.1086506843566895,0.9133333333333333,0.68,1.0,0.0,True,False,0.5,0.47299623489379883,0.0,False
mixture_k2,2,mixture_k3,1,200,150,1.0,1269.0,True,-400.7926607131958,7.795817126991619,6.381889343261719,-400.7154334136285,7.779650215989012,3.393882989883423,5.096025466918945,0.9133333333333333,0.68,2.484125,0.5796533312032288,True,True,0.5,0.47401943802833557,0.48301219940185547,False
mixture_k2,2,sparse_k5,1,200,150,1.0,1170.0,True,-401.1432065963745,7.768144622300531,6.313212871551514,-401.07751140603796,7.755241754849645,3.4039885997772217,5.11435079574585,0.9066666666666666,0.68,2.63875,0.8794875994009238,True,True,0.5,0.47418051958084106,0.13246631622314453,False
mixture_k2,2,single_hill,2,200,150,1.0,2290.0,True,-415.3641357421875,10.06516355746749,5.800542831420898,-415.3395604076795,10.063776434264945,3.709937572479248,5.557008743286133,0.92,0.74,1.0,0.0,True,False,0.5,0.4536930024623871,0.0,False
mixture_k2,2,mixture_k3,2,200,150,1.07,47.0,False,-407.3658037185669,8.380004260559401,9.111764907836914,-407.16919758636504,8.3320309343786,3.757735013961792,5.6612019538879395,0.9333333333333333,0.7,2.734875,0.44365948020413126,True,True,0.5,0.4949060082435608,7.9983320236206055,False
mixture_k2,2,sparse_k5,2,200,150,1.01,497.0,True,-408.4750862121582,8.377319166118326,9.376543045043945,-408.2690505804494,8.323387484507148,3.7614855766296387,5.633959770202637,0.9266666666666666,0.7,3.094125,0.7954655771150628,True,True,0.5,0.4942868649959564,6.889049530029297,False
mixture_k2,2,single_hill,3,200,150,1.0,2989.0,True,-410.74724864959717,8.115446697800547,6.477564811706543,-410.7022799656261,8.10865134510655,3.585516929626465,5.199564456939697,0.9133333333333333,0.76,1.0,0.0,True,False,0.5,0.5407739281654358,0.0,False
mixture_k2,2,mixture_k3,3,200,150,1.02,181.0,True,-401.22211837768555,8.518053437450984,7.872163772583008,-401.12626311415806,8.506687920900898,3.6151504516601562,5.228168964385986,0.8933333333333333,0.68,2.668125,0.47088638159857626,True,True,0.5,0.5489079356193542,9.525130271911621,False
mixture_k2,2,sparse_k5,3,200,150,1.01,567.0,True,-402.39559173583984,8.627414715835869,8.165911197662354,-402.2878403365612,8.606997575801257,3.6335244178771973,5.238864421844482,0.9,0.72,3.035125,0.7949158662242187,True,True,0.5,0.545340895652771,8.351656913757324,False
mixture_k2,2,single_hill,4,200,150,1.0,2363.0,True,-400.80613136291504,8.523303501140482,5.658185005187988,-400.7614257868845,8.517249958744328,3.3665525913238525,6.23227071762085,0.9266666666666666,0.66,1.0,0.0,False,False,0.5,0.6253405213356018,0.0,False
mixture_k2,2,mixture_k3,4,200,150,1.0,998.0,True,-401.0741186141968,8.703365119740129,7.5897321701049805,-400.9771899525076,8.675152341571883,3.373220682144165,6.215011119842529,0.9466666666666667,0.66,2.45325,0.5848627509937694,False,True,0.5,0.6309544444084167,-0.2679872512817383,False
mixture_k2,2,sparse_k5,4,200,150,1.0,1254.0,True,-401.68975734710693,8.663101035982502,7.52791166305542,-401.589082042221,8.634479255756439,3.3822484016418457,6.215265274047852,0.9466666666666667,0.64,2.55475,0.8177728520194345,False,True,0.5,0.6306003928184509,-0.8836259841918945,False
mixture_k3,3,single_hill,0,200,150,1.0,2505.0,True,-528.9645538330078,6.049011032814621,4.970202922821045,-528.9443251085468,6.046752395620621,7.941134929656982,7.344892978668213,0.94,0.9,1.0,0.0,True,False,0.5,0.4664386510848999,0.0,False
mixture_k3,3,mixture_k3,0,200,150,1.58,7.0,False,-500.84577083587646,9.205988021621646,11.620253086090088,-500.7354530831799,9.197134856975925,7.967041015625,7.519618511199951,0.94,0.88,2.937375,0.24228724558878456,True,True,0.5,0.5317778587341309,28.118782997131348,True
mixture_k3,3,sparse_k5,0,200,150,1.07,41.0,False,-500.2282876968384,9.140161061160864,12.341612339019775,-500.11575116217136,9.12498295629761,7.988487720489502,7.520760536193848,0.94,0.88,3.627125,0.7085825529710705,True,True,0.5,0.5348591804504395,28.736266136169434,True
mixture_k3,3,single_hill,1,200,150,1.0,2650.0,True,-508.6481704711914,8.289912942997368,5.409992218017578,-508.580647836905,8.275834039019669,6.932121276855469,7.349049091339111,0.92,0.84,1.0,0.0,True,False,0.5,0.36351117491722107,0.0,False
mixture_k3,3,mixture_k3,1,200,150,1.31,11.0,False,-477.0049657821655,8.771631302916397,9.249258518218994,-476.81395298289135,8.73430808158556,6.94431209564209,7.42812967300415,0.92,0.88,2.89725,0.3036320758747336,True,True,0.5,0.3956499695777893,31.64320468902588,True
mixture_k3,3,sparse_k5,1,200,150,1.04,88.0,True,-477.19379901885986,8.791423647204196,9.572506427764893,-477.03560766763985,8.76498418781186,6.95632266998291,7.454670429229736,0.92,0.88,3.732875,0.780877221062953,True,True,0.5,0.3969160318374634,31.454371452331543,True
mixture_k3,3,single_hill,2,200,150,1.0,3086.0,True,-522.5224742889404,8.416783983737261,4.286935329437256,-522.5114135311451,8.416238378149494,7.6516337394714355,9.594991683959961,0.9333333333333333,0.72,1.0,0.0,True,False,0.5,0.4360108971595764,0.0,False
mixture_k3,3,mixture_k3,2,200,150,1.22,13.0,False,-489.56758975982666,8.727269997401399,11.137679100036621,-489.3621693113819,8.667298401765635,7.690921306610107,9.588976860046387,0.9466666666666667,0.8,2.91725,0.27550397002584187,True,True,0.5,0.3705025017261505,32.95488452911377,True
mixture_k3,3,sparse_k5,2,200,150,1.03,147.0,True,-489.426796913147,8.742439267857362,11.66722822189331,-489.1761705148965,8.670193091690841,7.678199768066406,9.605245590209961,0.9466666666666667,0.8,3.833375,0.7519049869331895,True,True,0.5,0.38317596912384033,33.09567737579346,True
mixture_k3,3,single_hill,3,200,150,1.0,2132.0,True,-522.6353759765625,8.140188974383515,6.820896148681641,-522.6639676797204,8.157239286719552,7.56558895111084,8.536232948303223,0.92,0.86,1.0,0.0,True,False,0.5,0.511371374130249,0.0,False
mixture_k3,3,mixture_k3,3,200,150,1.78,6.0,False,-480.4804983139038,8.803690583582794,11.112189292907715,-480.21430085692555,8.761634981882768,7.587334632873535,8.497612953186035,0.9066666666666666,0.84,2.9845,0.12353036064061336,True,True,0.5,0.5365920662879944,42.15487766265869,True
mixture_k3,3,sparse_k5,3,200,150,1.14,23.0,False,-480.73187732696533,8.802034019672446,11.58556604385376,-480.48290077224374,8.761977189131443,7.593255519866943,8.469285011291504,0.9066666666666666,0.82,3.854,0.7093546362715901,True,True,0.5,0.5412809252738953,41.90349864959717,True
mixture_k3,3,single_hill,4,200,150,1.0,2960.0,True,-520.8514652252197,6.066305070115691,4.315957069396973,-520.8280060000252,6.063813373097143,7.550357818603516,8.70888614654541,0.9533333333333334,0.8,1.0,0.0,True,False,0.5,0.5945074558258057,0.0,False
mixture_k3,3,mixture_k3,4,200,150,1.31,10.0,False,-492.218318939209,7.536114726126494,10.28677749633789,-492.10477658640593,7.522510446851006,7.6665449142456055,8.922584533691406,0.94,0.76,2.925375,0.26278529139774925,True,True,0.5,0.6110031604766846,28.633146286010742,True
mixture_k3,3,sparse_k5,4,200,150,1.04,81.0,True,-492.7614459991455,7.587777943157804,10.425962924957275,-492.650321919471,7.569695494526922,7.673202037811279,8.906500816345215,0.94,0.78,3.625375,0.7323121666168055,True,True,0.5,0.6069945096969604,28.09001922607422,True
mixture_k5,5,single_hill,0,200,150,1.0,3085.0,True,-509.13947582244873,8.452821555851166,5.693272590637207,-509.120462507708,8.450002179326088,6.939714431762695,6.444222927093506,0.9066666666666666,0.96,1.0,0.0,True,False,0.5,0.48790937662124634,0.0,False
mixture_k5,5,mixture_k3,0,200,150,1.01,588.0,True,-505.6715564727783,7.994191448138206,7.884727478027344,-505.6423398568295,7.991348626178936,6.944789409637451,6.401598930358887,0.9266666666666666,0.94,2.81225,0.3937003143255032,True,False,0.5,0.45646005868911743,3.46791934967041,False
mixture_k5,5,sparse_k5,0,200,150,1.0,1142.0,True,-505.4871244430542,7.967457036151092,8.01841926574707,-505.4275385281071,7.9561651441273895,6.948208808898926,6.425682544708252,0.9266666666666666,0.94,3.5405,0.7972513719022375,True,False,0.5,0.4568012058734894,3.6523513793945312,False
mixture_k5,5,single_hill,1,200,150,1.0,824.0,True,-504.81010723114014,10.539423741599641,6.663114547729492,-504.6267889733426,10.48251627113877,6.715728282928467,7.685730934143066,0.9133333333333333,0.88,1.0,0.0,True,False,0.5,0.38567227125167847,0.0,False
mixture_k5,5,mixture_k3,1,200,150,1.01,276.0,True,-496.7547302246094,8.664309627340653,9.656765460968018,-496.4801130713895,8.597357764004949,6.733606338500977,7.742209434509277,0.9133333333333333,0.88,2.91,0.2879236009777594,True,False,0.5,0.4009094834327698,8.055377006530762,False
mixture_k5,5,sparse_k5,1,200,150,1.0,848.0,True,-495.72200298309326,8.634702291627848,9.340744972229004,-495.4793721809983,8.57191111102123,6.742813587188721,7.756760120391846,0.9133333333333333,0.9,3.893875,0.7709490802737883,True,False,0.5,0.3963642716407776,9.088104248046875,False
mixture_k5,5,single_hill,2,200,150,1.0,3247.0,True,-508.7405700683594,9.91549378629279,4.81212043762207,-508.7245356035419,9.911630044853329,6.964751243591309,8.436306953430176,0.94,0.78,1.0,0.0,True,False,0.5,0.3952086269855499,0.0,False
mixture_k5,5,mixture_k3,2,200,150,1.06,110.0,False,-501.22447204589844,8.12262269685076,8.992743968963623,-501.0064743505791,8.058359684133373,6.962604522705078,8.527695655822754,0.9266666666666666,0.78,2.895,0.30777426793024787,True,False,0.5,0.4389452040195465,7.5160980224609375,False
mixture_k5,5,sparse_k5,2,200,150,1.01,371.0,True,-500.46138858795166,8.112937200788476,9.89531135559082,-500.1667111767456,8.027106421774379,6.99337100982666,8.529151916503906,0.92,0.78,3.959375,0.777479652064927,True,True,0.5,0.45464667677879333,8.279181480407715,False
mixture_k5,5,single_hill,3,200,150,1.0,2020.0,True,-517.3922681808472,11.012124301829452,11.20168399810791,-517.9135437679943,11.263018441472687,7.1550445556640625,7.626771926879883,0.92,0.82,1.0,0.0,True,False,0.5,0.48882928490638733,0.0,False
mixture_k5,5,mixture_k3,3,200,150,1.07,41.0,False,-491.0694751739502,9.353266321465977,10.938109874725342,-490.98000146402046,9.362516164249417,7.2541303634643555,7.489469051361084,0.92,0.84,2.786625,0.409690260288184,True,False,0.5,0.5751257538795471,26.322793006896973,False
mixture_k5,5,sparse_k5,3,200,150,1.01,554.0,True,-490.5999174118042,9.30438851255844,10.969808101654053,-490.41586531465873,9.274628608640189,7.2652058601379395,7.493494510650635,0.92,0.82,3.600875,0.8217811353243636,True,False,0.5,0.5779909491539001,26.79235076904297,False
mixture_k5,5,single_hill,4,200,150,1.0,2858.0,True,-507.34864139556885,8.958980628095334,6.002199172973633,-507.246269707568,8.931186797226959,6.850334644317627,8.768622398376465,0.92,0.84,1.0,0.0,True,False,0.5,0.6342949867248535,0.0,False
mixture_k5,5,mixture_k3,4,200,150,1.02,317.0,True,-497.4414300918579,7.786208089187372,7.924951076507568,-497.3402734929696,7.767436366082355,6.867958068847656,8.691240310668945,0.92,0.82,2.807125,0.3945557430515998,True,False,0.5,0.6160315871238708,9.907211303710938,False
mixture_k5,5,sparse_k5,4,200,150,1.01,760.0,True,-497.56120777130127,7.784471328673118,7.999640464782715,-497.4441964873113,7.757054143259183,6.872323036193848,8.68657112121582,0.9266666666666666,0.82,3.52425,0.8158810804890625,True,False,0.5,0.6144822835922241,9.787433624267578,False
